,experiment_id,sample_id,system_class,system_class_pr,diffuse_binary,disordered_binary,crystalline_binary,diffuse_binary_pr,disordered_binary_pr,crystalline_binary_pr
263,RxnA_201903,RxnA_201903_1552003089,diffuse,diffuse__diffuse,True,False,False,True,False,False
250,RxnA_201903,RxnA_201903_1552019286,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
251,RxnA_201903,RxnA_201903_1552051812,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
252,RxnA_201903,RxnA_201903_1552011934,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
253,RxnA_201903,RxnA_201903_1552055246,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
254,RxnA_201903,RxnA_201903_1552009224,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
258,RxnA_201903,RxnA_201903_1552035028,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
259,RxnA_201903,RxnA_201903_1552041938,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
261,RxnA_201903,RxnA_201903_1552044436,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
262,RxnA_201903,RxnA_201903_1552060346,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
256,RxnA_201903,RxnA_201903_1552062755,diffuse__diffuse__disordered,diffuse__disordered,True,True,False,True,True,False
3,RxnA_20190329,RxnA_20190329_1553935658,diffuse,diffuse__diffuse,True,False,False,True,False,False
8,RxnA_20190329,RxnA_20190329_1553924441,diffuse,diffuse__diffuse,True,False,False,True,False,False
0,RxnA_20190329,RxnA_20190329_1553910652,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
5,RxnA_20190329,RxnA_20190329_1553927416,diffuse__diffuse,diffuse,True,False,False,True,False,False
7,RxnA_20190329,RxnA_20190329_1553980333,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
10,RxnA_20190329,RxnA_20190329_1553920203,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
12,RxnA_20190329,RxnA_20190329_1553970200,diffuse__diffuse,diffuse__disordered,True,False,False,True,True,False
1,RxnA_20190329,RxnA_20190329_1553941420,unidentified,unidentified,False,False,False,False,False,False
2,RxnA_20190329,RxnA_20190329_1553957565,unidentified,unidentified,False,False,False,False,False,False
4,RxnA_20190329,RxnA_20190329_1553914977,unidentified,unidentified,False,False,False,False,False,False
6,RxnA_20190329,RxnA_20190329_1553975313,unidentified,unidentified,False,False,False,False,False,False
9,RxnA_20190329,RxnA_20190329_1553983571,unidentified,unidentified,False,False,False,False,False,False
11,RxnA_20190329,RxnA_20190329_1553931522,unidentified,unidentified,False,False,False,False,False,False
77,RxnB_201902,RxnB_201902_1549554974,diffuse,diffuse,True,False,False,True,False,False
81,RxnB_201902,RxnB_201902_1549529862,diffuse,diffuse__diffuse,True,False,False,True,False,False
86,RxnB_201902,RxnB_201902_1549519773,diffuse,diffuse__diffuse,True,False,False,True,False,False
88,RxnB_201902,RxnB_201902_1549515274,diffuse,diffuse__diffuse,True,False,False,True,False,False
74,RxnB_201902,RxnB_201902_1549510854,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
75,RxnB_201902,RxnB_201902_1549543553,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
83,RxnB_201902,RxnB_201902_1549542392,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
85,RxnB_201902,RxnB_201902_1549522353,diffuse__diffuse,diffuse__disordered,True,False,False,True,True,False
89,RxnB_201902,RxnB_201902_1549547681,diffuse__diffuse,diffuse__disordered,True,False,False,True,True,False
90,RxnB_201902,RxnB_201902_1549550118,diffuse__diffuse,diffuse__disordered,True,False,False,True,True,False
76,RxnB_201902,RxnB_201902_1549533717,diffuse__diffuse__disordered,diffuse__diffuse,True,True,False,True,False,False
78,RxnB_201902,RxnB_201902_1549563823,diffuse__diffuse__disordered,diffuse__diffuse,True,True,False,True,False,False
87,RxnB_201902,RxnB_201902_1549546027,diffuse__disordered,diffuse__disordered,True,True,False,True,True,False
79,RxnB_201902,RxnB_201902_1549538559,unidentified,unidentified,False,False,False,False,False,False
80,RxnB_201902,RxnB_201902_1549556123,unidentified,unidentified,False,False,False,False,False,False
82,RxnB_201902,RxnB_201902_1549512034,unidentified,unidentified,False,False,False,False,False,False
84,RxnB_201902,RxnB_201902_1549552495,unidentified,unidentified,False,False,False,False,False,False
91,RxnB_201902,RxnB_201902_1549527270,unidentified,unidentified,False,False,False,False,False,False
109,RxnB_201903,RxnB_201903_1552170336,diffuse,diffuse__diffuse,True,False,False,True,False,False
112,RxnB_201903,RxnB_201903_1552121120,diffuse,diffuse__diffuse,True,False,False,True,False,False
115,RxnB_201903,RxnB_201903_1552129560,diffuse,diffuse,True,False,False,True,False,False
117,RxnB_201903,RxnB_201903_1552201133,diffuse,diffuse__diffuse,True,False,False,True,False,False
118,RxnB_201903,RxnB_201903_1552190847,diffuse,diffuse__diffuse,True,False,False,True,False,False
120,RxnB_201903,RxnB_201903_1552229339,diffuse,diffuse__diffuse,True,False,False,True,False,False
114,RxnB_201903,RxnB_201903_1552194157,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
110,RxnB_201903,RxnB_201903_1552139810,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
105,RxnB_201903,RxnB_201903_1552212348,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
124,RxnB_201903,RxnB_201903_1552162971,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
103,RxnB_201903,RxnB_201903_1552143019,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
116,RxnB_201903,RxnB_201903_1552231339,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
123,RxnB_201903,RxnB_201903_1552117162,diffuse__diffuse,diffuse,True,False,False,True,False,False
122,RxnB_201903,RxnB_201903_1552222136,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
106,RxnB_201903,RxnB_201903_1552172709,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
104,RxnB_201903,RxnB_201903_1552105633,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
107,RxnB_201903,RxnB_201903_1552108422,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
100,RxnB_201903,RxnB_201903_1552150948,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
113,RxnB_201903,RxnB_201903_1552160304,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
102,RxnB_201903,RxnB_201903_1552238958,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
121,RxnB_201903,RxnB_201903_1552203940,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
108,RxnB_201903,RxnB_201903_1552210330,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
119,RxnB_201903,RxnB_201903_1552132480,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
101,RxnB_201903,RxnB_201903_1552180524,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
111,RxnB_201903,RxnB_201903_1552219492,unidentified,unidentified,False,False,False,False,False,False
171,RxnB_20190329,RxnB_20190329_1554115566,diffuse,diffuse__diffuse,True,False,False,True,False,False
183,RxnB_20190329,RxnB_20190329_1554084259,diffuse,diffuse__diffuse,True,False,False,True,False,False
185,RxnB_20190329,RxnB_20190329_1554071128,diffuse,diffuse__diffuse,True,False,False,True,False,False
188,RxnB_20190329,RxnB_20190329_1554044258,diffuse,diffuse__diffuse,True,False,False,True,False,False
172,RxnB_20190329,RxnB_20190329_1554018753,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
174,RxnB_20190329,RxnB_20190329_1554119377,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
175,RxnB_20190329,RxnB_20190329_1554111327,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
178,RxnB_20190329,RxnB_20190329_1554061928,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
186,RxnB_20190329,RxnB_20190329_1554035356,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
168,RxnB_20190329,RxnB_20190329_1554054259,diffuse__diffuse__disordered,diffuse__disordered,True,True,False,True,True,False
170,RxnB_20190329,RxnB_20190329_1554087010,diffuse__diffuse__disordered,diffuse__diffuse,True,True,False,True,False,False
176,RxnB_20190329,RxnB_20190329_1554022504,diffuse__diffuse__disordered,diffuse__disordered,True,True,False,True,True,False
180,RxnB_20190329,RxnB_20190329_1554057588,diffuse__diffuse__disordered,diffuse__diffuse,True,True,False,True,False,False
184,RxnB_20190329,RxnB_20190329_1554100902,diffuse__diffuse__disordered,diffuse__diffuse,True,True,False,True,False,False
191,RxnB_20190329,RxnB_20190329_1554026495,diffuse__diffuse__disordered,diffuse__disordered,True,True,False,True,True,False
192,RxnB_20190329,RxnB_20190329_1554074813,diffuse__diffuse__disordered,diffuse__disordered,True,True,False,True,True,False
169,RxnB_20190329,RxnB_20190329_1554014393,unidentified,unidentified,False,False,False,False,False,False
173,RxnB_20190329,RxnB_20190329_1554066952,unidentified,unidentified,False,False,False,False,False,False
177,RxnB_20190329,RxnB_20190329_1554128931,unidentified,unidentified,False,False,False,False,False,False
179,RxnB_20190329,RxnB_20190329_1554124920,unidentified,unidentified,False,False,False,False,False,False
181,RxnB_20190329,RxnB_20190329_1554011062,unidentified,unidentified,False,False,False,False,False,False
182,RxnB_20190329,RxnB_20190329_1554089770,unidentified,unidentified,False,False,False,False,False,False
187,RxnB_20190329,RxnB_20190329_1554049356,unidentified,unidentified,False,False,False,False,False,False
189,RxnB_20190329,RxnB_20190329_1554092743,unidentified,diffuse__diffuse,False,False,False,True,False,False
190,RxnB_20190329,RxnB_20190329_1554006432,unidentified,unidentified,False,False,False,False,False,False
288,RxnC_201902,RxnC_201902_1549596806,diffuse,diffuse,True,False,False,True,False,False
289,RxnC_201902,RxnC_201902_1549595639,diffuse,diffuse__diffuse,True,False,False,True,False,False
290,RxnC_201902,RxnC_201902_1549626099,diffuse,diffuse__diffuse,True,False,False,True,False,False
292,RxnC_201902,RxnC_201902_1549624936,diffuse,diffuse__diffuse,True,False,False,True,False,False
291,RxnC_201902,RxnC_201902_1549620357,diffuse__disordered,diffuse__disordered,True,True,False,True,True,False
264,RxnC_201903,RxnC_201903_1552306412,diffuse,diffuse__diffuse,True,False,False,True,False,False
275,RxnC_201903,RxnC_201903_1552268627,diffuse,diffuse__diffuse,True,False,False,True,False,False
276,RxnC_201903,RxnC_201903_1552322747,diffuse,diffuse__diffuse,True,False,False,True,False,False
265,RxnC_201903,RxnC_201903_1552285279,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
266,RxnC_201903,RxnC_201903_1552257734,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
267,RxnC_201903,RxnC_201903_1552304459,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
268,RxnC_201903,RxnC_201903_1552295039,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
270,RxnC_201903,RxnC_201903_1552266975,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
271,RxnC_201903,RxnC_201903_1552324675,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
272,RxnC_201903,RxnC_201903_1552314320,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
273,RxnC_201903,RxnC_201903_1552278298,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
274,RxnC_201903,RxnC_201903_1552276212,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
269,RxnC_201903,RxnC_201903_1552286907,unidentified,unidentified,False,False,False,False,False,False
14,RxnD_201902,RxnD_201902_1549712274,diffuse,diffuse__disordered,True,False,False,True,True,False
15,RxnD_201902,RxnD_201902_1549681391,diffuse,diffuse,True,False,False,True,False,False
16,RxnD_201902,RxnD_201902_1549717440,diffuse,diffuse__diffuse,True,False,False,True,False,False
18,RxnD_201902,RxnD_201902_1549709342,diffuse,diffuse,True,False,False,True,False,False
22,RxnD_201902,RxnD_201902_1549704818,diffuse,diffuse__diffuse,True,False,False,True,False,False
13,RxnD_201902,RxnD_201902_1549740122,diffuse__diffuse,diffuse__disordered,True,False,False,True,True,False
17,RxnD_201902,RxnD_201902_1549737146,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
20,RxnD_201902,RxnD_201902_1549695299,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
21,RxnD_201902,RxnD_201902_1549701593,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
23,RxnD_201902,RxnD_201902_1549677642,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
24,RxnD_201902,RxnD_201902_1549706466,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
25,RxnD_201902,RxnD_201902_1549696659,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
27,RxnD_201902,RxnD_201902_1549732501,diffuse__diffuse,diffuse__disordered,True,False,False,True,True,False
28,RxnD_201902,RxnD_201902_1549699693,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
19,RxnD_201902,RxnD_201902_1549685209,diffuse__disordered,diffuse__diffuse,True,True,False,True,False,False
26,RxnD_201902,RxnD_201902_1549722477,unidentified,unidentified,False,False,False,False,False,False
147,RxnE_201902,RxnE_201902_1549843586,diffuse,unidentified,True,False,False,False,False,False
153,RxnE_201902,RxnE_201902_1549780388,diffuse,diffuse__disordered,True,False,False,True,True,False
154,RxnE_201902,RxnE_201902_1549865560,diffuse,diffuse__diffuse,True,False,False,True,False,False
163,RxnE_201902,RxnE_201902_1549765194,diffuse,unidentified,True,False,False,False,False,False
165,RxnE_201902,RxnE_201902_1549816619,diffuse,unidentified,True,False,False,False,False,False
166,RxnE_201902,RxnE_201902_1549795188,diffuse,unidentified,True,False,False,False,False,False
164,RxnE_201902,RxnE_201902_1549785719,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
155,RxnE_201902,RxnE_201902_1549839615,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
148,RxnE_201902,RxnE_201902_1549877483,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
167,RxnE_201902,RxnE_201902_1549857605,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
162,RxnE_201902,RxnE_201902_1549821595,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
150,RxnE_201902,RxnE_201902_1549770506,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
160,RxnE_201902,RxnE_201902_1549763321,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
158,RxnE_201902,RxnE_201902_1549814628,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
159,RxnE_201902,RxnE_201902_1549787700,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
156,RxnE_201902,RxnE_201902_1549768788,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
161,RxnE_201902,RxnE_201902_1549888740,diffuse__diffuse,diffuse__disordered,True,False,False,True,True,False
157,RxnE_201902,RxnE_201902_1549832975,diffuse__diffuse,diffuse__disordered,True,False,False,True,True,False
149,RxnE_201902,RxnE_201902_1549831114,diffuse__diffuse,diffuse__disordered,True,False,False,True,True,False
152,RxnE_201902,RxnE_201902_1549802310,diffuse__diffuse__disordered,diffuse__diffuse,True,True,False,True,False,False
151,RxnE_201902,RxnE_201902_1549807638,unidentified,unidentified,False,False,False,False,False,False
